,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
0,00:40.2,24.139,102.50299999999999,31.0,7.5,Ms,90.0,,,0.0,NEI,1970010440.0
1,18:26.1,-9.602,151.35,38.0,6.3,Ms,107.0,,,0.0,NEI,1971012540.0
2,12:39.1,-34.741,178.56799999999998,179.0,6.1,Mb,59.0,,,0.0,NEI,1970010840.0
3,45:11.7,6.279,126.777,94.1,6.6,Unk,510.0,,,1.06,NEI,1995042040.0
4,24:53.3,60.0257,-153.0258,121.36,6.0,ML,50.0,,,0.2,AK,
5,28:20.8,-25.996,-177.514,152.5,7.8,Mw,512.0,,,1.12,NEI,2007120940.0
6,33:05.4,42.519,142.966,46.0,6.4,Ms,199.0,,,0.0,NEI,1970012040.0
7,51:38.5,7.017,-104.29799999999999,33.0,6.6,Ms,140.0,,,0.0,NEI,1970012140.0
8,04:54.9,-13.059000000000001,166.12900000000002,33.0,6.2,Ms,88.0,,,0.0,NEI,1980102740.0
9,08:48.0,15.532,-99.484,21.0,6.5,Ms,100.0,,,0.0,NEI,1970020440.0
10,05:58.3,12.597999999999999,122.117,11.0,6.6,Ms,94.0,,,0.0,NEI,1970020540.0
11,34:57.8,23.028000000000002,101.052,5.0,6.1,Mw,400.0,,,0.96,NEI,2007060240.0
12,07:36.8,30.576,103.031,33.0,6.0,Ms,94.0,,,0.0,NEI,1970022440.0
13,07:56.5,50.13,-179.5898,7.0,6.0,ML,0.0,,,,AK,
14,52:31.1,52.5898,-175.04,161.0,6.1,ML,0.0,,,,AK,
15,30:35.4,12.134,143.707,33.0,6.2,Ms,82.0,,,0.0,NEI,1970030440.0
16,03:15.9,-19.964000000000002,169.108,36.0,6.2,Mw,489.0,,,1.05,NEI,2008090840.0
17,47:50.7,44.244,148.862,33.0,7.6,Ms,317.0,,,0.0,NEI,1978032440.0
18,32:28.8,57.3546,-154.19799999999998,42.92,6.29,ML,129.0,,,0.91,AK,
19,39:17.8,-29.653000000000002,-69.499,119.0,6.0,Mb,118.0,,,0.0,NEI,1970031540.0
20,33:28.7,51.34,173.75,8.0,6.5,ML,0.0,,,,AK,
21,51:09.4,-22.125999999999998,126.721,33.0,6.0,Mb,20.0,,,0.0,NEI,1975100340.0
22,27:56.4,0.2,119.541,33.0,6.2,Me,151.0,,,1.04,NEI,1999022310.0
23,02:23.4,39.181999999999995,29.488000000000003,20.0,7.1,Ms,199.0,,,0.0,NEI,1970032840.0
24,35:45.3,-17.135,168.458,205.7,6.3,Mw,387.0,,,1.02,NEI,2008110440.0
25,23:34.1,-49.271,164.115,10.0,7.4,Mw,499.0,,,1.19,NEI,2007093040.0
26,23:56.6,15.434000000000001,121.801,33.0,6.2,Ms,92.0,,,0.0,NEI,1970040840.0
27,05:42.9,59.72,-142.49,7.0,6.2,ML,0.0,,,,AK,
28,14:21.4,15.069,122.665,12.0,6.0,Ms,92.0,,,0.0,NEI,1970041540.0
29,41:25.7,14.423,-92.36399999999999,24.0,6.7,Mw,481.0,,,1.17,NEI,2008101640.0
30,24:11.0,-41.523,80.416,10.0,6.1,Mw,74.0,,,1.4,NEI,1996081910.0
31,12:28.0,43.034,47.089,44.0,6.5,Ms,135.0,,,0.0,NEI,1970051440.0
32,13:15.1,50.169,91.25200000000001,33.0,6.7,Ms,159.0,,,0.0,NEI,1970051540.0
33,26:24.8,-56.293,-27.075,94.1,6.0,Mw,241.0,,,0.99,NEI,2005061240.0
34,32:53.9,26.973000000000003,139.882,512.0,6.5,Mw,626.0,,,1.04,NEI,2011011240.0
35,16:16.4,38.315,142.434,22.0,6.0,Mw,411.0,,,1.14,NEI,2011030920.0
36,26:28.7,-9.158999999999999,-78.887,56.9,6.3,Unk,301.0,,,0.99,NEI,1985082140.0
37,45:52.7,-9.793,-78.587,55.0,6.0,Mb,31.0,,,0.0,NEI,1970053140.0
38,05:48.2,42.839,78.60600000000001,33.0,7.1,Ms,233.0,,,0.0,NEI,1978032440.0
39,27:12.6,-24.848000000000003,-68.67399999999999,33.0,6.3,Mb,187.0,,,0.0,NEI,1977011740.0
40,46:38.3,-59.113,157.767,33.0,7.2,Ms,27.0,,,0.0,NEI,1970061140.0
