,Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
0,10/01/1997,06:05:48,46.215,136.09,Earthquake,416.0,,,5.5,MWC,,,,,,0.75,USP00088BB,US,US,HRV,Reviewed
1,04/30/2012,08:00:10,1.757,89.598,Earthquake,10.0,,225.0,5.7,MWW,,,15.3,,,1.1,USP000JJT7,US,US,US,Reviewed
2,12/01/1993,00:59:01,-57.475,-25.685,Earthquake,33.0,,,5.7,MW,,,,,,0.9,USP00064GA,US,US,HRV,Reviewed
3,10/06/2008,08:30:46,29.807,90.35,Earthquake,12.0,,434.0,6.3,MWC,,,18.4,,,0.99,USP000GJGT,US,US,US,Reviewed
4,02/02/1965,15:56:51,37.523,73.251,Earthquake,15.0,,,6.0,MW,,,,,,,ISCGEM859164,ISCGEM,ISCGEM,ISCGEM,Automatic
5,05/11/1976,15:50:42,-51.603,139.683,Earthquake,33.0,,,6.6,MS,,,,,,,USP0000G9K,US,US,US,Reviewed
6,12/07/2008,06:23:10,13.35,-44.826,Earthquake,10.0,,323.0,5.6,MWC,,,31.7,,,1.01,USP000GQ3C,US,US,GCMT,Reviewed
7,01/05/1991,14:57:12,23.613000000000003,95.90100000000001,Earthquake,19.7,,,7.0,MW,,,,,,1.3,USP0004K8G,US,US,HRV,Reviewed
8,02/23/1975,03:53:36,-21.726999999999997,-71.35600000000001,Earthquake,33.0,,,5.6,MB,,,,,,,USP0000A0A,US,US,US,Reviewed
9,05/05/1979,20:04:58,8.355,-70.985,Earthquake,23.0,,,5.6,MB,,,,,,,USP00010F9,US,US,US,Reviewed
10,09/30/1993,18:27:51,15.417,-94.698,Earthquake,19.2,,,6.5,MW,,,,,,1.1,USP000619M,US,US,HRV,Reviewed
11,09/07/1999,11:56:49,38.119,23.605,Earthquake,10.0,,,6.0,MWC,,,,,,1.12,USP0009E46,US,US,HRV,Reviewed
12,03/06/1965,11:10:51,-18.425,-132.923,Earthquake,10.0,,,5.6,MW,,,,,,,ISCGEM858385,ISCGEM,ISCGEM,ISCGEM,Automatic
13,04/16/1965,23:22:21,64.572,-160.375,Earthquake,15.0,,,6.0,MW,,,,,,,ISCGEM857809,ISCGEM,ISCGEM,ISCGEM,Automatic
14,07/31/1990,03:19:47,42.416000000000004,-126.682,Earthquake,10.0,,,5.8,MW,,,,,,1.2,USP0004CRR,US,US,HRV,Reviewed
15,05/18/1980,15:32:11,46.2073333,-122.18799999999999,Earthquake,1.51,0.56,18.0,5.7,MD,0.08,1.0,62.0,0.008296,0.682,0.22,UW10084803,UW,UW,UW,Reviewed
16,11/28/1973,08:12:31,-41.861000000000004,42.77,Earthquake,33.0,,,5.9,MS,,,,,,,USP00004B3,US,US,US,Reviewed
17,04/04/1978,00:40:29,33.033,82.285,Earthquake,27.0,,,6.0,MS,,,,,,,USP0000TWZ,US,US,US,Reviewed
18,07/10/2003,17:06:38,28.355,54.169,Earthquake,10.0,,475.0,5.8,MWC,,,45.4,,,0.93,USP000C251,US,US,HRV,Reviewed
19,07/15/2000,03:58:10,-54.104,7.939,Earthquake,10.0,,60.0,5.7,MWC,,,,,,1.49,USP0009WJ9,US,US,HRV,Reviewed
20,08/04/1979,00:41:20,-62.855,-161.42700000000002,Earthquake,10.0,,,5.8,MS,,,,,,,USP000127F,US,US,US,Reviewed
21,07/03/1989,17:02:33,-53.187,160.168,Earthquake,33.0,,,6.4,MS,,1.0,,,,1.4,USP0003WX6,US,US,US,Reviewed
22,08/28/2008,15:22:23,-0.252,-17.358,Earthquake,12.0,,367.0,6.3,MWC,,,43.2,,,1.08,USP000GFUY,US,US,GCMT,Reviewed
23,09/09/1965,10:02:26,6.47,-84.40799999999999,Earthquake,15.0,,,6.2,MW,,,,,,,ISCGEM853712,ISCGEM,ISCGEM,ISCGEM,Automatic
24,09/12/1965,22:02:35,-6.416,70.726,Earthquake,25.0,,,6.3,MW,,,,,,,ISCGEM853797,ISCGEM,ISCGEM,ISCGEM,Automatic
25,05/06/1990,16:46:13,-35.253,-104.14200000000001,Earthquake,10.0,,,5.7,MW,,,,,,1.2,USP00048YA,US,US,HRV,Reviewed
26,09/26/1965,21:33:52,-54.757,-38.244,Earthquake,10.0,,,5.8,MW,,,,,,,ISCGEM854160,ISCGEM,ISCGEM,ISCGEM,Automatic
27,10/07/1965,03:36:02,12.347000000000001,114.485,Earthquake,20.0,,,5.9,MW,,,,,,,ISCGEM852946,ISCGEM,ISCGEM,ISCGEM,Automatic
28,01/17/1984,03:32:08,-8.87,-71.35600000000001,Earthquake,614.1,3.6,,5.6,MW,,,,,,0.9,USP00021AN,US,US,HRV,Reviewed
29,11/28/2004,02:35:13,-26.525,-113.834,Earthquake,10.0,,265.0,6.6,MWC,,,52.0,,,1.4,USP000D9F2,US,US,HRV,Reviewed
30,12/16/1997,11:17:22,29.985,-42.628,Earthquake,10.0,,,5.5,MWC,,,,,,1.22,USP0008CR9,US,US,HRV,Reviewed
31,10/23/2010,03:09:15,-56.7,-141.952,Earthquake,10.0,,26.0,5.8,MWC,,,73.5,,,1.08,USP000HNEF,US,US,GCMT,Reviewed
