,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
0,00:40.2,24.139,102.50299999999999,31.0,7.5,Ms,90.0,,,0.0,NEI,1970010440.0
1,35:51.8,-9.628,151.458,8.0,6.2,Ms,85.0,,,0.0,NEI,1970010640.0
2,58:39.8,-17.649,-171.18400000000003,33.0,6.4,Ms,148.0,,,0.0,NEI,1980020340.0
3,44:36.6,1.621,126.55799999999999,33.0,6.0,Me,198.0,,,1.1,NEI,1996050710.0
4,53:27.6,43.207,138.92,226.5,6.5,Me,442.0,,,0.89,NEI,1996122210.0
5,51:38.5,7.017,-104.29799999999999,33.0,6.6,Ms,140.0,,,0.0,NEI,1970012140.0
6,43:06.1,-10.491,160.77,33.0,7.3,Mw,457.0,,,0.84,NEI,2003012040.0
7,43:33.3,14.376,-92.897,14.0,6.0,Mw,558.0,,,1.09,NEI,2012050120.0
8,10:41.6,23.096,100.775,33.0,6.1,Ms,57.0,,,0.0,NEI,1970020640.0
9,25:50.9,31.583000000000002,102.43299999999999,14.6,6.1,Mb,441.0,,,1.08,NEI,1989092240.0
10,51:29.7,12.515999999999998,143.181,76.0,6.8,Mw,330.0,,,0.96,NEI,2008050940.0
11,08:57.9,-26.708000000000002,-70.918,28.9,6.2,Ms,399.0,,,1.12,NEI,1993031540.0
12,51:09.4,-22.125999999999998,126.721,33.0,6.0,Mb,20.0,,,0.0,NEI,1975100340.0
13,26:43.3,38.632,30.901999999999997,10.0,6.0,Mw,450.0,,,0.91,NEI,2002020340.0
14,13:29.4,-51.777,161.31799999999998,10.0,6.6,Mw,73.0,,,1.33,NEI,2007111040.0
15,23:19.6,58.67,-142.78,10.0,6.7,ML,0.0,,,,AK,
16,24:11.0,-41.523,80.416,10.0,6.1,Mw,74.0,,,1.4,NEI,1996081910.0
17,19:45.2,42.589,45.104,16.4,6.1,Mb,591.0,,,1.03,NEI,1992102340.0
18,13:15.1,50.169,91.25200000000001,33.0,6.7,Ms,159.0,,,0.0,NEI,1970051540.0
19,24:38.4,-57.776,-25.465999999999998,33.0,6.1,Me,119.0,,,0.97,NEI,1997060210.0
20,36:10.2,-9.296,-79.0,49.0,6.0,Mb,99.0,,,0.0,NEI,1970060140.0
21,38:53.5,42.605,79.708,15.0,6.1,Mw,548.0,14.0,1.0,0.76,NEI,2013012820.0
22,22:23.4,-59.013999999999996,158.28,14.4,6.1,Mw,306.0,,,0.97,NEI,1995101340.0
23,28:38.4,-3.03,139.47,33.0,6.0,Mb,17.0,,,0.0,NEI,1971011540.0
24,00:11.3,-51.95399999999999,-73.84899999999999,33.0,6.6,Ms,85.0,,,0.0,NEI,1970061440.0
25,10:43.7,-9.952,117.319,33.0,6.3,Ms,91.0,,,0.0,NEI,1977100740.0
26,14:52.4,-54.336000000000006,-63.645,33.0,7.0,Ms,66.0,,,0.0,NEI,1970061540.0
27,54:40.2,50.724,-130.092,19.7,6.0,Mb,322.0,,,1.02,NEI,1992040640.0
28,56:15.3,-51.035,139.487,33.0,6.0,Ms,29.0,,,0.0,NEI,1970070240.0
29,23:34.0,25.623,125.04299999999999,11.1,6.0,Mw,306.0,,,1.03,NEI,2007042040.0
30,13:59.7,25.19,96.514,33.0,6.1,Ms,83.0,,,0.0,NEI,1971053140.0
31,52:19.5,37.824,55.876000000000005,19.0,6.6,Ms,114.0,,,0.0,NEI,1970073040.0
32,19:07.6,13.902999999999999,51.678999999999995,10.0,6.0,Mw,265.0,,,1.38,NEI,2001061540.0
33,08:05.4,-1.459,-72.558,651.0,7.1,Mb,205.0,,,0.0,NEI,1970073140.0
34,10:04.3,61.02,-147.14,17.0,6.4,ML,0.0,,,,AK,
35,14:42.4,-56.883,-141.654,12.0,6.3,Me,336.0,,,1.03,NEI,1995082340.0
36,38:22.0,53.2083,152.7654,580.21,6.7,Mw,,11.0,3.0,1.33,us,2013100120.0
37,51:22.1,18.726,145.628,176.5,6.3,Me,199.0,,,1.2,NEI,1996071510.0
38,16:07.9,1.1420000000000001,-77.4,145.0,6.9,Mw,495.0,25.0,1.0,0.89,NEI,2013020920.0
39,53:04.8,-3.591,86.161,33.0,6.3,Ms,104.0,,,0.0,NEI,1970101040.0
40,56:23.4,-0.544,99.26100000000001,55.7,7.0,Me,506.0,,,0.92,NEI,1998040110.0
41,43:11.6,35.28,-35.729,10.0,6.3,Mw,504.0,,,0.98,NEI,2003040240.0
42,01:18.7,-11.681,-14.087,33.0,6.0,Ms,68.0,,,0.0,NEI,1970112940.0
43,59:20.1,-0.593,-80.393,33.0,7.2,Me,412.0,,,0.94,NEI,1998080410.0
44,10:11.8,-55.945,-3.361,10.0,6.5,Ms,80.0,,,1.27,NEI,1995052340.0
45,04:21.8,-63.453,-61.215,33.0,7.0,Ms,54.0,,,0.0,NEI,1971020840.0
46,50:23.2,33.96,-116.31700000000001,12.33,6.1,Mw,150.0,,,0.26,CI,30196.0
47,58:47.4,71.19,-8.263,10.0,6.0,Mw,426.0,,,0.95,NEI,2000052140.0
48,27:58.6,35.389,99.34299999999999,10.0,6.1,Mw,432.0,,,0.99,NEI,2000091240.0
49,59:27.9,-55.294,-128.843,10.0,6.2,Mw,148.0,,,1.04,NEI,2011110220.0
50,23:19.9,11.769,95.052,33.0,6.3,Ms,62.0,,,0.0,NEI,1971032840.0
51,49:03.7,-56.083,-123.27,10.0,6.2,Mw,164.0,,,1.21,NEI,2007033140.0
52,38:26.5,28.343000000000004,57.193000000000005,33.0,6.6,Me,368.0,,,0.92,NEI,1999030410.0
53,25:01.7,-39.779,-104.844,33.0,6.2,Mb,116.0,,,0.0,NEI,1971050940.0
54,27:56.3,65.9,-164.0,100.0,6.1,ML,0.0,,,,AK,
55,44:43.8,63.95,146.112,33.0,6.6,Ms,167.0,,,0.0,NEI,1971051840.0
56,27:04.7,39.007,40.464,10.0,6.4,Mw,504.0,,,1.09,NEI,2003050140.0
57,18:49.3,33.093,92.92399999999999,33.0,6.1,Ms,147.0,,,0.0,NEI,1975050540.0
58,17:11.9,17.984,-69.33800000000001,23.9,6.0,Mb,331.0,,,1.0,NEI,1984062440.0
59,27:13.9,-5.249,96.93299999999999,25.0,6.4,Ms,130.0,,,0.0,NEI,1971062640.0
60,13:55.5,39.457,73.83,9.0,7.3,Ms,122.0,,,0.0,NEI,1974081140.0
61,52:36.8,-0.674,-19.689,10.0,6.6,Mw,276.0,,,1.2,NEI,2003110941.0
62,41:26.1,-60.94,154.25,10.0,6.2,Mw,50.0,,,1.24,NEI,2002040740.0
63,59:52.6,46.251000000000005,140.939,16.0,6.2,Ms,138.0,,,0.0,NEI,1971090840.0
64,17:54.6,26.765,-110.777,33.0,6.6,Ms,204.0,,,0.0,NEI,1971093040.0
